time,battery,altitude,pressure,magX,magY,magZ,rotX,rotY,rotZ,ax,ay,az,vx,vy,vz,motor1,motor2,motor3,motor4,lat,lng,elevation,nbsat
1631795166.357258,71,0,99792,374.26171875,210.1640625,17.75390625,-948.0,-2084.0,5331.0,4.693403720855713,146.6917724609375,-1045.40234375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795166.483369,71,0,99804,360.52734375,203.2734375,-3.55078125,-958.0,-2078.0,5329.0,4.553409576416016,146.61180114746094,-1046.23583984375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795166.750099,71,0,99795,374.26171875,223.9453125,10.65234375,-956.0,-2059.0,5331.0,7.169195652008057,146.01937866210938,-1045.671875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795166.751887,71,0,99792,374.26171875,189.4921875,3.55078125,-970.0,-2052.0,5333.0,6.3750834465026855,147.26162719726562,-1045.42138671875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795166.852588,71,0,99792,363.9609375,206.71875,-21.3046875,-977.0,-2038.0,5335.0,7.566629886627197,146.620849609375,-1044.04736328125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795167.117885,71,0,99795,374.26171875,203.2734375,-17.75390625,-976.0,-2032.0,5336.0,-0.03343060612678528,144.2240447998047,-1045.88671875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795167.277371,71,0,99787,374.26171875,223.9453125,3.55078125,-983.0,-2034.0,5338.0,4.9263916015625,146.10391235351562,-1044.78125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795167.28771,71,0,99789,370.828125,206.71875,-7.1015625,-979.0,-2038.0,5339.0,-0.601645827293396,138.55833435058594,-1040.7275390625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795167.514833,71,0,99787,353.66015625,203.2734375,10.65234375,-977.0,-2044.0,5341.0,-0.40350142121315,147.65451049804688,-1035.57421875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795167.516396,71,0,99795,360.52734375,210.1640625,-10.65234375,-963.0,-2046.0,5340.0,-0.6984015107154846,138.70114135742188,-1045.55078125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795167.603532,71,0,99795,381.12890625,223.9453125,-3.55078125,-961.0,-2046.0,5343.0,-0.14101038873195648,141.91574096679688,-1044.591796875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795167.763922,71,0,99801,384.5625,206.71875,-7.1015625,-960.0,-2055.0,5344.0,-0.5545517802238464,145.29928588867188,-1045.24755859375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795167.853122,71,0,99798,370.828125,213.609375,0.0,-974.0,-2044.0,5345.0,7.634268283843994,146.2133331298828,-1044.42919921875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795167.994744,71,0,99795,360.52734375,203.2734375,-10.65234375,-981.0,-2036.0,5348.0,6.482203960418701,145.6177520751953,-1045.45361328125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795168.08831,71,0,99804,374.26171875,217.0546875,10.65234375,-989.0,-2043.0,5349.0,-0.6307973861694336,146.78712463378906,-1045.2509765625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795168.202878,71,0,99798,360.52734375,223.9453125,-17.75390625,-987.0,-2035.0,5352.0,2.8679728507995605,146.8310546875,-1045.1025390625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795168.334768,71,0,99795,387.99609375,203.2734375,-10.65234375,-979.0,-2041.0,5352.0,-0.5369022488594055,141.1618194580078,-1044.62158203125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795168.595334,71,0,99804,370.828125,206.71875,-7.1015625,-966.0,-2042.0,5356.0,1.579714298248291,138.6840362548828,-1045.935546875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795168.597309,71,0,99801,377.6953125,213.609375,7.1015625,-961.0,-2054.0,5358.0,-0.11111614108085632,138.1802215576172,-1038.95166015625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795168.77976,71,0,99795,360.52734375,217.0546875,-17.75390625,-959.0,-2054.0,5359.0,0.8773272633552551,141.98602294921875,-1037.4931640625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795168.824391,71,0,99795,387.99609375,223.9453125,3.55078125,-962.0,-2041.0,5359.0,5.510140895843506,147.28196716308594,-1036.0830078125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795169.019552,71,0,99795,370.828125,213.609375,-28.40625,-969.0,-2045.0,5360.0,2.854961395263672,146.6878662109375,-1045.7529296875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795169.120197,71,0,99792,367.39453125,203.2734375,-10.65234375,-981.0,-2046.0,5363.0,3.6343905925750732,146.6762237548828,-1045.5146484375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795169.241414,71,0,99792,374.26171875,217.0546875,-24.85546875,-987.0,-2041.0,5364.0,2.856407403945923,146.7548370361328,-1045.96923828125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795169.37804,71,0,99795,353.66015625,210.1640625,-10.65234375,-995.0,-2040.0,5367.0,7.024065971374512,146.60218811035156,-1045.43115234375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795169.476369,71,0,99798,357.09375,227.390625,0.0,-998.0,-2038.0,5367.0,-0.20204858481884003,143.3214111328125,-1045.5263671875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795169.608874,71,0,99787,360.52734375,203.2734375,-17.75390625,-995.0,-2051.0,5370.0,-0.5697106122970581,146.72938537597656,-1043.77880859375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795169.702346,71,0,99792,377.6953125,206.71875,0.0,-997.0,-2061.0,5374.0,-0.18705236911773682,146.6925506591797,-1045.166015625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795169.840753,71,0,99795,370.828125,220.5,-7.1015625,-1001.0,-2063.0,5377.0,-0.008358106017112732,146.74623107910156,-1038.8125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795169.942093,71,0,99792,360.52734375,210.1640625,-10.65234375,-1006.0,-2055.0,5377.0,0.5412453413009644,146.71435546875,-1045.25634765625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795170.057085,71,0,99801,374.26171875,230.8359375,-17.75390625,-1013.0,-2053.0,5378.0,-1.7981961965560913,146.8037109375,-1045.1943359375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795170.316355,71,0,99787,370.828125,199.828125,-7.1015625,-1021.0,-2061.0,5380.0,-1.1553019285202026,146.74745178222656,-1045.2314453125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795170.504588,71,0,99801,384.5625,213.609375,0.0,-1023.0,-2069.0,5378.0,1.2202666997909546,146.90504455566406,-1036.8759765625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795170.51831,71,0,99795,363.9609375,206.71875,0.0,-1024.0,-2067.0,5377.0,8.021357536315918,146.69314575195312,-1039.50634765625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795170.565828,71,0,99801,377.6953125,213.609375,0.0,-1029.0,-2065.0,5382.0,-0.3888973593711853,146.93548583984375,-1045.26416015625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795170.808658,71,0,99798,367.39453125,210.1640625,-24.85546875,-1030.0,-2061.0,5382.0,9.46855354309082,146.60897827148438,-1045.0693359375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795170.965544,71,0,99792,374.26171875,210.1640625,-10.65234375,-1025.0,-2054.0,5385.0,4.693265914916992,146.94403076171875,-1045.546875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795170.975898,71,0,99787,367.39453125,217.0546875,10.65234375,-1027.0,-2051.0,5387.0,0.8964656591415405,146.74330139160156,-1045.2626953125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795171.057861,71,0,99784,367.39453125,210.1640625,10.65234375,-1038.0,-2051.0,5393.0,0.15340512990951538,146.7794189453125,-1043.46875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795171.198497,71,0,99804,381.12890625,217.0546875,-10.65234375,-1040.0,-2050.0,5394.0,7.942278861999512,146.8035430908203,-1041.2021484375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795171.315335,71,0,99789,363.9609375,227.390625,-7.1015625,-1048.0,-2044.0,5394.0,-0.5780531764030457,146.76992797851562,-1045.130859375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795171.45267,71,0,99787,357.09375,213.609375,0.0,-1050.0,-2055.0,5396.0,-0.4855659604072571,145.2740478515625,-1045.2529296875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795171.554967,71,0,99789,374.26171875,196.3828125,-10.65234375,-1051.0,-2065.0,5399.0,3.0921828746795654,146.6686553955078,-1043.73876953125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795171.659456,71,0,99787,370.828125,206.71875,-14.203125,-1056.0,-2058.0,5400.0,3.618419647216797,146.77481079101562,-1045.361328125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795171.783629,71,0,99792,374.26171875,217.0546875,-3.55078125,-1059.0,-2056.0,5402.0,-0.3687032163143158,146.7689971923828,-1045.318359375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795172.056234,71,0,99784,374.26171875,210.1640625,3.55078125,-1060.0,-2045.0,5406.0,8.653779983520508,146.44056701660156,-1045.2939453125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795172.058955,71,0,99792,370.828125,213.609375,0.0,-1063.0,-2034.0,5406.0,7.378852844238281,146.64073181152344,-1045.47705078125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795172.159073,71,0,99792,374.26171875,223.9453125,3.55078125,-1060.0,-2042.0,5408.0,-0.5178832411766052,146.84107971191406,-1045.23779296875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795172.420375,71,0,99795,381.12890625,217.0546875,-3.55078125,-1061.0,-2030.0,5407.0,7.31434965133667,146.59840393066406,-1047.0244140625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795172.580147,71,0,99798,367.39453125,217.0546875,17.75390625,-1077.0,-2010.0,5411.0,7.32806396484375,154.02996826171875,-1045.4775390625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795172.590106,71,0,99784,357.09375,213.609375,7.1015625,-1108.0,-1995.0,5413.0,2.6019413471221924,154.87649536132812,-1046.900390625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795172.817733,71,0,99801,353.66015625,210.1640625,3.55078125,-1131.0,-1976.0,5411.0,8.191129684448242,154.66854858398438,-1045.4765625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795172.819773,71,0,99792,357.09375,213.609375,7.1015625,-1151.0,-1968.0,5416.0,-0.27351751923561096,154.68954467773438,-1054.349609375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795172.910713,71,0,99792,367.39453125,210.1640625,-10.65234375,-1183.0,-1962.0,5418.0,7.3282365798950195,156.14845275878906,-1036.814453125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795173.066782,71,0,99795,353.66015625,217.0546875,-10.65234375,-1206.0,-1947.0,5422.0,2.3133327960968018,153.1533203125,-1045.3427734375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795173.159965,71,0,99789,374.26171875,203.2734375,-24.85546875,-1217.0,-1945.0,5422.0,7.521103382110596,154.59906005859375,-1048.9580078125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795173.296903,71,0,99795,381.12890625,196.3828125,-3.55078125,-1239.0,-1940.0,5425.0,7.889273166656494,154.69154357910156,-1048.33935546875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795173.390642,71,0,99798,381.12890625,203.2734375,-3.55078125,-1255.0,-1927.0,5426.0,7.435988903045654,154.2906951904297,-1046.76513671875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795173.504246,71,0,99792,374.26171875,210.1640625,-10.65234375,-1275.0,-1914.0,5429.0,7.519331932067871,154.6951446533203,-1045.4775390625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795173.637039,71,0,99784,387.99609375,210.1640625,-17.75390625,-1293.0,-1918.0,5430.0,0.8858280777931213,154.626220703125,-1044.65283203125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795173.897846,71,0,99798,353.66015625,217.0546875,-3.55078125,-1310.0,-1924.0,5432.0,1.4548454284667969,154.8879852294922,-1037.552734375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795173.899467,71,0,99787,363.9609375,199.828125,0.0,-1328.0,-1923.0,5431.0,7.411209583282471,154.69139099121094,-1045.50390625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795174.091028,71,0,99801,381.12890625,210.1640625,-10.65234375,-1339.0,-1917.0,5432.0,7.561418056488037,154.7360076904297,-1047.12744140625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795174.304423,71,0,99798,357.09375,213.609375,28.40625,-1357.0,-1907.0,5434.0,-0.14069730043411255,155.8779754638672,-1045.7939453125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795174.321537,71,0,99795,360.52734375,210.1640625,-10.65234375,-1367.0,-1905.0,5434.0,0.48806634545326233,155.09561157226562,-1045.693359375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795174.422665,71,0,99787,381.12890625,203.2734375,3.55078125,-1379.0,-1902.0,5436.0,5.665756702423096,154.74935913085938,-1045.42431640625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795174.520272,71,0,99795,353.66015625,217.0546875,3.55078125,-1387.0,-1898.0,5437.0,6.969527721405029,154.65000915527344,-1045.49365234375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795174.68105,71,0,99795,370.828125,213.609375,-7.1015625,-1399.0,-1891.0,5440.0,8.762845993041992,154.6537628173828,-1045.51318359375,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795174.760228,71,0,99787,346.79296875,210.1640625,10.65234375,-1409.0,-1878.0,5442.0,5.854215621948242,154.77059936523438,-1038.24560546875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795174.911232,71,0,99787,363.9609375,213.609375,-14.203125,-1416.0,-1869.0,5447.0,7.451597213745117,154.57717895507812,-1044.63134765625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795175.013694,71,0,99795,350.2265625,199.828125,-7.1015625,-1425.0,-1866.0,5448.0,4.5053558349609375,154.75820922851562,-1045.4658203125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795175.142669,71,0,99789,377.6953125,213.609375,-7.1015625,-1431.0,-1858.0,5449.0,7.469711780548096,153.0384979248047,-1045.2763671875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795175.236609,71,0,99789,363.9609375,213.609375,-7.1015625,-1437.0,-1856.0,5450.0,1.2698609828948975,153.31576538085938,-1043.22607421875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
1631795175.359645,71,0,99792,370.828125,213.609375,-21.3046875,-1429.0,-1858.0,5451.0,6.847417831420898,142.5179443359375,-1044.736328125,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0
